"system/cpu/cpuidle/current_governor_ro","qcom"
"system/cpu/cpu5/topology/thread_siblings","20"
"system/cpu/cpu5/cpu_capacity","828"
"system/cpu/cpu5/cache/uevent",""
"system/cpu/cpu5/cache/index2/uevent",""
"system/cpu/cpu5/cache/index2/shared_cpu_list","5"
"system/cpu/cpu5/cache/index2/type","Unified"
"system/cpu/cpu5/cache/index2/waiting_for_supplier","0"
"system/cpu/cpu5/cache/index2/level","2"
"system/cpu/cpu5/cache/index2/shared_cpu_map","20"
"system/cpu/cpu5/cache/index0/uevent",""
"system/cpu/cpu5/cache/index0/shared_cpu_list","5"
"system/cpu/cpu5/cache/index0/type","Data"
"system/cpu/cpu5/cache/index0/waiting_for_supplier","0"
"system/cpu/cpu5/cache/index0/level","1"
"system/cpu/cpu5/cache/index0/shared_cpu_map","20"
"system/cpu/cpu5/cache/index3/uevent",""
"system/cpu/cpu5/cache/index3/shared_cpu_list","0-7"
"system/cpu/cpu5/cache/index3/type","Unified"
"system/cpu/cpu5/cache/index3/waiting_for_supplier","0"
"system/cpu/cpu5/cache/index3/level","3"
"system/cpu/cpu5/cache/index3/shared_cpu_map","ff"
"system/cpu/cpu5/cache/index1/uevent",""
"system/cpu/cpu5/cache/index1/shared_cpu_list","5"
"system/cpu/cpu5/cache/index1/type","Instruction"
"system/cpu/cpu5/cache/index1/waiting_for_supplier","0"
"system/cpu/cpu5/cache/index1/level","1"
"system/cpu/cpu5/cache/index1/shared_cpu_map","20"
"system/cpu/cpu5/cache/waiting_for_supplier","0"
"system/cpu/cpu5/isolate","0"
"system/cpu/cpu5/waiting_for_supplier","0"
"system/cpu/cpu5/regs/identification/revidr_el1","0x0000000000000001"
"system/cpu/cpu5/regs/identification/midr_el1","0x00000000411fd410"
"system/cpu/possible","0-7"
"system/cpu/offline",""
"system/cpu/present","0-7"
"system/cpu/power/runtime_active_time","0"
"system/cpu/power/runtime_status","unsupported"
"system/cpu/power/autosuspend_delay_ms",""
"system/cpu/power/runtime_suspended_time","0"
"system/cpu/power/control","auto"
"system/cpu/cpu3/cpuidle/state1/disable","0"
"system/cpu/cpu3/cpuidle/state1/above","0"
"system/cpu/cpu3/cpuidle/state1/time","10981801294"
"system/cpu/cpu3/cpuidle/state1/power","0"
"system/cpu/cpu3/cpuidle/state1/residency","0"
